"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1002.0","17.4","99"
"2",2019-03-25 02:00:00,"0.0","1001.0","17.5","99"
"3",2019-03-25 03:00:00,"0.0","1000.8","17.4","99"
"4",2019-03-25 04:00:00,"0.0","1000.6","17.4","99"
"5",2019-03-25 05:00:00,"0.0","1001.0","17.5","99"
"6",2019-03-25 06:00:00,"0.0","1001.8","17.1","99"
"7",2019-03-25 07:00:00,"0.0","1002.2","17.8","99"
"8",2019-03-25 08:00:00,"0.0","1002.9","19.6","95"
"9",2019-03-25 09:00:00,"0.0","1003.0","21.1","88"
"10",2019-03-25 10:00:00,"0.0","1003.5","24.4","70"
"11",2019-03-25 11:00:00,"0.0","1003.1","25.3","64"
"12",2019-03-25 12:00:00,"0.0","1002.4","27.9","54"
"13",2019-03-25 13:00:00,"0.0","1001.8","29.6","53"
"14",2019-03-25 14:00:00,"0.0","1001.2","30.3","50"
"15",2019-03-25 15:00:00,"0.0","1000.8","28.9","53"
"16",2019-03-25 16:00:00,"0.0","1000.6","28.0","56"
"17",2019-03-25 17:00:00,"0.0","1000.3","27.8","54"
"18",2019-03-25 18:00:00,"0.0","1000.4","26.3","65"
"19",2019-03-25 19:00:00,"0.0","1000.9","23.7","80"
"20",2019-03-25 20:00:00,"0.0","1001.5","22.8","83"
"21",2019-03-25 21:00:00,"0.0","1002.3","21.6","89"
"22",2019-03-25 22:00:00,"0.0","1002.6","20.6","94"
"23",2019-03-25 23:00:00,"0.0","1002.4","20.7","92"
"24",2019-03-26 00:00:00,"0.0","1002.4","20.6","89"
