"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1008.8","17.6","100"
"2",2019-03-25 02:00:00,"0.0","1007.9","17.0","100"
"3",2019-03-25 03:00:00,"0.0","1007.7","17.0","100"
"4",2019-03-25 04:00:00,"0.0","1007.6","16.5","100"
"5",2019-03-25 05:00:00,"0.0","1008.3","16.8","100"
"6",2019-03-25 06:00:00,"0.0","1008.8","17.1","100"
"7",2019-03-25 07:00:00,"0.0","1009.3","17.5","100"
"8",2019-03-25 08:00:00,"0.0","1009.9","18.7","100"
"9",2019-03-25 09:00:00,"0.0","1010.3","20.3","99"
"10",2019-03-25 10:00:00,"0.0","1010.4","24.5","74"
"11",2019-03-25 11:00:00,"0.0","1010.2","25.2","68"
"12",2019-03-25 12:00:00,"0.0","1009.6","25.7","66"
"13",2019-03-25 13:00:00,"0.0","1009.0","26.8","61"
"14",2019-03-25 14:00:00,"0.0","1008.2","26.1","64"
"15",2019-03-25 15:00:00,"0.0","1007.7","25.4","71"
"16",2019-03-25 16:00:00,"0.0","1007.2","26.2","67"
"17",2019-03-25 17:00:00,"0.0","1007.1","25.4","73"
"18",2019-03-25 18:00:00,"0.0","1007.3","23.6","80"
"19",2019-03-25 19:00:00,"0.0","1007.8","21.6","90"
"20",2019-03-25 20:00:00,"0.0","1008.5","20.8","93"
"21",2019-03-25 21:00:00,"0.0","1009.4","20.2","95"
"22",2019-03-25 22:00:00,"0.0","1009.6","19.3","97"
"23",2019-03-25 23:00:00,"0.0","1009.5","18.7","98"
"24",2019-03-26 00:00:00,"0.0","1009.5","17.9","99"
