"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.9","17.6","91"
"2",2019-03-25 02:00:00,"0.0","1012.9","17.3","92"
"3",2019-03-25 03:00:00,"0.0","1013.1","17.0","93"
"4",2019-03-25 04:00:00,"0.0","1013.0","17.3","94"
"5",2019-03-25 05:00:00,"0.0","1013.5","17.4","93"
"6",2019-03-25 06:00:00,"0.0","1013.7","17.6","93"
"7",2019-03-25 07:00:00,"0.0","1014.1","18.0","89"
"8",2019-03-25 08:00:00,"0.0","/","/","/"
"9",2019-03-25 09:00:00,"0.5","1014.8","18.7","90"
"10",2019-03-25 10:00:00,"1.5","1015.5","18.7","92"
"11",2019-03-25 11:00:00,"5.5","1015.9","19.5","94"
"12",2019-03-25 12:00:00,"X","1015.3","19.9","93"
"13",2019-03-25 13:00:00,"2.5","1015.3","18.8","93"
"14",2019-03-25 14:00:00,"5.5","1015.2","19.0","94"
"15",2019-03-25 15:00:00,"0.5","1014.8","18.9","94"
"16",2019-03-25 16:00:00,"0.0","1014.8","18.7","94"
"17",2019-03-25 17:00:00,"0.0","1014.6","18.8","93"
"18",2019-03-25 18:00:00,"X","1015.0","18.5","92"
"19",2019-03-25 19:00:00,"X","1015.6","18.5","92"
"20",2019-03-25 20:00:00,"X","1016.2","18.6","94"
"21",2019-03-25 21:00:00,"X","1017.1","18.5","94"
"22",2019-03-25 22:00:00,"X","1017.5","18.3","95"
"23",2019-03-25 23:00:00,"0.0","1017.6","18.3","95"
"24",2019-03-26 00:00:00,"0.0","1017.8","18.0","96"
