"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","975.7","17.1","100"
"2",2019-03-25 02:00:00,"0.0","974.9","17.0","100"
"3",2019-03-25 03:00:00,"0.0","974.9","16.7","100"
"4",2019-03-25 04:00:00,"0.5","975.5","16.9","100"
"5",2019-03-25 05:00:00,"0.0","976.1","17.1","100"
"6",2019-03-25 06:00:00,"0.0","976.2","17.2","100"
"7",2019-03-25 07:00:00,"0.0","976.1","17.7","100"
"8",2019-03-25 08:00:00,"0.0","977.0","18.2","100"
"9",2019-03-25 09:00:00,"0.0","977.6","18.8","100"
"10",2019-03-25 10:00:00,"0.0","978.6","17.8","100"
"11",2019-03-25 11:00:00,"0.5","978.3","18.4","100"
"12",2019-03-25 12:00:00,"0.0","978.1","18.8","100"
"13",2019-03-25 13:00:00,"0.0","977.7","18.5","100"
"14",2019-03-25 14:00:00,"5.0","977.7","17.1","100"
"15",2019-03-25 15:00:00,"0.0","977.0","18.6","100"
"16",2019-03-25 16:00:00,"0.0","/","/","/"
"17",2019-03-25 17:00:00,"0.0","976.2","19.7","100"
"18",2019-03-25 18:00:00,"0.0","976.4","19.9","100"
"19",2019-03-25 19:00:00,"0.0","976.9","19.0","100"
"20",2019-03-25 20:00:00,"0.0","977.2","18.2","100"
"21",2019-03-25 21:00:00,"0.0","977.9","17.9","100"
"22",2019-03-25 22:00:00,"0.0","978.1","17.3","100"
"23",2019-03-25 23:00:00,"0.0","978.1","16.6","100"
"24",2019-03-26 00:00:00,"0.0","978.2","16.9","100"
