"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.3","19.3","X"
"2",2019-03-25 02:00:00,"0.0","1012.5","19.2","X"
"3",2019-03-25 03:00:00,"0.0","1012.1","19.0","X"
"4",2019-03-25 04:00:00,"0.0","1012.1","19.0","X"
"5",2019-03-25 05:00:00,"0.0","1012.7","19.0","X"
"6",2019-03-25 06:00:00,"0.0","1013.4","18.8","X"
"7",2019-03-25 07:00:00,"0.0","1014.1","19.1","X"
"8",2019-03-25 08:00:00,"0.0","1014.4","20.4","X"
"9",2019-03-25 09:00:00,"X","/","/","/"
"10",2019-03-25 10:00:00,"X","/","/","/"
"11",2019-03-25 11:00:00,"0.0","1014.7","25.2","X"
"12",2019-03-25 12:00:00,"X","/","/","/"
"13",2019-03-25 13:00:00,"X","1013.2","27.0","X"
"14",2019-03-25 14:00:00,"0.0","1012.6","28.2","X"
"15",2019-03-25 15:00:00,"0.0","1012.1","27.3","X"
"16",2019-03-25 16:00:00,"0.0","1011.6","27.1","X"
"17",2019-03-25 17:00:00,"X","1011.6","26.8","X"
"18",2019-03-25 18:00:00,"0.0","1012.0","25.9","X"
"19",2019-03-25 19:00:00,"0.0","1012.5","24.4","X"
"20",2019-03-25 20:00:00,"0.0","1013.1","23.3","X"
"21",2019-03-25 21:00:00,"0.0","1013.8","22.7","X"
"22",2019-03-25 22:00:00,"0.0","1014.1","22.2","X"
"23",2019-03-25 23:00:00,"0.0","1014.0","21.8","X"
"24",2019-03-26 00:00:00,"0.0","1014.1","21.3","X"
