"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1011.2","19.8","100"
"2",2019-03-25 02:00:00,"0.0","1010.3","20.1","100"
"3",2019-03-25 03:00:00,"0.0","1009.9","20.4","100"
"4",2019-03-25 04:00:00,"0.0","1009.9","20.3","100"
"5",2019-03-25 05:00:00,"0.0","1010.4","20.2","100"
"6",2019-03-25 06:00:00,"0.0","1011.1","19.7","100"
"7",2019-03-25 07:00:00,"0.0","1011.8","19.8","100"
"8",2019-03-25 08:00:00,"0.0","1012.3","21.4","97"
"9",2019-03-25 09:00:00,"0.0","1012.6","23.4","82"
"10",2019-03-25 10:00:00,"0.0","1012.5","24.8","73"
"11",2019-03-25 11:00:00,"0.0","1012.5","24.4","79"
"12",2019-03-25 12:00:00,"0.0","1011.8","24.8","81"
"13",2019-03-25 13:00:00,"0.0","1011.1","25.5","78"
"14",2019-03-25 14:00:00,"0.0","1010.5","26.2","79"
"15",2019-03-25 15:00:00,"0.0","1010.0","25.7","87"
"16",2019-03-25 16:00:00,"0.0","1009.5","26.3","85"
"17",2019-03-25 17:00:00,"0.0","1009.5","26.9","66"
"18",2019-03-25 18:00:00,"0.0","1009.9","26.0","70"
"19",2019-03-25 19:00:00,"0.0","1010.3","25.1","77"
"20",2019-03-25 20:00:00,"0.0","1010.9","23.7","91"
"21",2019-03-25 21:00:00,"0.0","1011.6","22.9","95"
"22",2019-03-25 22:00:00,"0.0","1011.9","22.6","99"
"23",2019-03-25 23:00:00,"0.0","1011.8","22.1","100"
"24",2019-03-26 00:00:00,"0.0","1011.9","21.6","100"
